group,days,requests_total,trips_total,gmv_total,coupon_cost_total,completion_rate_weighted,cancel_rate_weighted,aov_weighted,roi_aggregate,coupon_per_trip_mean
control,29,59448,47411,14068584.32,37309.214244,0.7975205221369936,0.07244987215717938,296.7367134209361,377.0806918632033,0.844412120689655
experiment,29,59233,47335,13891360.51,37595.994207749995,0.7991322404740601,0.07067006567285128,293.46911397486,369.4904418071341,0.8519861896551721
