group,daily_slope,r_squared,slope_p,start_fitted,end_fitted
control,-0.011046991256157634,0.6971223877057096,1.78400180675637e-08,0.999069998275862,0.6897542431034482
experiment,-0.011180291009852216,0.724270413749621,4.934865801650981e-09,1.0085102637931036,0.6954621155172416
